0.195804195804  108.651911469
0.300699300699  140.040241449
0.699300699301  248.692152918
0.797202797203  301.810865191
0.902097902098  321.126760563
1.2027972028  400.804828974
1.40559440559  451.509054326
1.5034965035  470.824949698
1.6013986014  511.871227364
1.6993006993  540.845070423
1.7972027972  581.891348089
1.9020979021  610.865191147
2  642.253521127
2.0979020979  668.812877264
2.3986013986  724.346076459
2.5034965035  741.247484909
2.7972027972  811.267605634
3  869.215291751
3.2027972028  912.676056338
3.5034965035  987.525150905
